,y,spot1,spot2,K,T,r,vol1,vol2,rho
0,18.804511762177256,80.0,80.0,100.0,0.003968253968253968,0.01,0.05,0.05,0.05
1,0.06551724137931035,88.0,85.71428571428571,100.0,0.23443223443223443,0.011176470588235295,0.0736842105263158,0.06956521739130435,0.06551724137931035
2,0.08103448275862069,96.0,91.42857142857143,100.0,0.4648962148962149,0.012352941176470587,0.09736842105263158,0.08913043478260871,0.08103448275862069
3,0.09655172413793103,104.0,97.14285714285714,100.0,0.6953601953601953,0.013529411764705882,0.12105263157894737,0.10869565217391305,0.09655172413793103
4,0.11206896551724138,112.0,102.85714285714286,100.0,0.9258241758241759,0.014705882352941176,0.14473684210526316,0.1282608695652174,0.11206896551724138
5,0.12758620689655173,81.6,108.57142857142857,100.0,1.1562881562881564,0.01588235294117647,0.16842105263157894,0.14782608695652175,0.12758620689655173
6,0.14310344827586208,89.6,114.28571428571428,100.0,1.3867521367521367,0.017058823529411765,0.19210526315789472,0.1673913043478261,0.14310344827586208
7,0.15862068965517243,97.6,80.81632653061224,100.0,1.6172161172161172,0.018235294117647058,0.21578947368421053,0.18695652173913047,0.15862068965517243
8,0.17413793103448277,105.6,86.53061224489795,100.0,1.8476800976800978,0.01941176470588235,0.23947368421052634,0.2065217391304348,0.17413793103448277
9,0.1896551724137931,113.6,92.24489795918367,100.0,2.0781440781440783,0.020588235294117643,0.2631578947368421,0.22608695652173916,0.1896551724137931
